"","borough","avg_price","median_price"
"1","Barking and Dagenham",315135.135231317,310000
"2","Barnet",669907.731123389,550000
"3","Bexley",389222.960199005,370000
"4","Brent",606510.756962025,498500
"5","Bromley",485402.925266904,435000
"6","Camden",913300.970149254,645000
"7","City of London",680000,5e+05
"8","Croydon",447402.566486486,410500
"9","Ealing",578523.207317073,462500
"10","Enfield",476024.471428571,415000
"11","Greenwich",482804.594,406750
"12","Hackney",651208.189602447,532000
"13","Hammersmith and Fulham",1060148.75471698,795000
"14","Haringey",654453.367588933,530000
"15","Harrow",568714.42,527500
"16","Havering",397532.603524229,375000
"17","Hillingdon",447279.907621247,425000
"18","Hounslow",547866.110512129,427000
"19","Islington",789379.938016529,6e+05
"20","Kensington and Chelsea",1859331.50181818,1200000
"21","Kingston upon Thames",597915.733887734,485000
"22","Lambeth",656034.189189189,518040
"23","Lewisham",483713.817073171,450000
"24","Merton",590694.602536998,461000
"25","Newham",386354.103004292,380000
"26","Redbridge",479340.715736041,450000
"27","Richmond upon Thames",821685.240585774,670000
"28","Southwark",613919.534042553,521000
"29","Sutton",414071.318658281,380000
"30","Tower Hamlets",523512.251908397,461500
"31","Waltham Forest",472370.017369727,458250
"32","Wandsworth",786573.199646643,652500
"33","Westminster",1278719.85655738,852500
